VT63,22,80
VT64,22,80
VT65,22,80
VT66,22,80
VT67,22,80
VT68,21,80
VT69,21,80
VT70,22,80
VT71,23,80
VT72,22,80
VT73,25,80
VT74,25,80
VT75,18,80
CS64,750,1500
CS65,968,1800
IP117,715,1250
IP118,615,1250
CS66,1040,1800
IP119,550,1250
IP120,830,1350
IP121,749,1350
VD-L23,256,600
IP122,594,1100
IPMN18,472,900
VD30,115,300
VD-L24,142,400
VD31,121,400
TL15,180,350
TL16,180,350
TL17,180,350
TL18,180,350
TL19,180,350
TL20,180,350
TL21,180,350
TL22,180,350
TL23,180,350
TL24,180,350
TL25,180,350
TL26,180,350
TL27,180,350
TL28,180,350
VD-L25,207,500
IP123,607,1300
TR16,1258,2150
BL20,938,1750
TR18,987,1750
TR19,937,1750
IP124,384,900
CS67,780,1300
IP125,456,900
IP126,480,1000
IP127,620,1350
IP128,620,1150
CS68,1106,1800
TR20,1096,1750
CS69,1000,1800
IP129,740,1250
CP01,114,250
VD32,225,400
IP130,790,1350
BL19,722,1750
CS70,335,600
CS71,230,450
VD-L26,384,800
VD33,63,210
VD34,164,400
VD35,143,400
VD36,154,400
VD37,164,400
IP131,936,1550
IPMN19,445,800
CS72,697,1500
IP132,523,900
IP133,567,1100
VD38,241,450
VD39,241,450
VD40,241,450
VD41,248,450
VD42,248,450
VD43,245,450
VD44,245,450
BC01,124,250
VD-L27,286,550
VD-L28,244,500
VD45,175,400
KC01,123,250
VD-L29,390,750
VD46,304,550
DG01,30,60
GT-VD02,200,400
VD47,246,450
VD48,305,550
VD49,218,430
VD50,288,550
VD51,133,350
VD52,133,350
VD-L30,185,600
VD-L31,154,600
VD-L32,320,650
CS73,773,1300
IPMN20,376,900
IPMN21,376,900
CS74,797,1300
CS75,570,1300
IPMN22,413,900
IPMN23,413,900
VD-L33,240,600
VD-L34,240,600
VD-L35,240,600
VD-L36,240,600
GT001,915,1550
GT002,950,1550
GT003,800,1300
GT-VD01,500,800
TL29,179,350
IP134,727,1250
IP135,657,1150
IPMN24,578,1200
CS76,1069,1800
CS77,939,1800
TR21,547,1050
MA04,710,1250
CS78,676,1250
CS79,641,1300
CS80,1097,1600
CL11,179,600
TL30,174,350
TL31,174,350
TL32,180,350
TL33,180,350
TL34,169,350
TL35,182,350
TL36,182,350
TL37,175,350
TL38,168,350
IPMN25,728,1250
IP136,782,1300
TL39,284,450
CL12,354,600
IPMN26,433,900
IP137,527,1100
VD-L37,302,700
IP138,596,1100
IP139,458,1000
VD-L38,320,800
CS81,828,1800
D-PC01,270,450
IP140,444,900
CS82,1186,1800
VD53,195,400
VD-L39,328,900
VD-L40,328,700
VD-L41,280,700
VD54,211,400
V-HM01,400,500
IP141,837,1350
IP142,478,1100
TR22,548,1050
CS83,721,1300
IP143,676,1300
CS84,873,1650
TR23,991,1950
CS85,676,1250
CS86,909,1700
TR24,513,1000
CS87,802,1400
TL40,166,350
VD-L42,405,900
VD-L43,428,900
MC01,75,200
BL21,925,1600
TL41,174,350
TL42,174,350
TL43,181,350
TL44,222,350
TL45,222,350
TL46,222,350
TL47,174,350
TL48,174,350
TL49,174,350
TL50,181,350
TL51,181,350
TL52,181,350
TL53,167,350
TL54,167,350
TL55,173,350
TL56,173,350
TL57,173,350
TL58,173,350
TL59,173,350
TL60,79,350
CL13,486,1000
VD-L44,236,700
VD-L45,194,600
VD-L46,194,600
VD-L47,194,600
VD55,167,400
VD56,167,400
IP144,476,1100
VD57,171,350
VD58,171,350
VD-L48,243,600
VD60,209,400
VD61,209,400
VD62,212,400
VD-L49,497,900
IP145,529,1250
IPMN27,324,850
CS88,1073,1600
CS89,516,1300
CS90,729,1300
IP146,702,1250
IP147,719,1250
IP148,531,1050
IP149,668,1200
IP150,582,1100
IP151,654,1200
CS91,1346,2000
IP152,650,1250
IP153,650,1250
IP154,564,1100
IP155,359,900
IP156,466,1050
TL61,169,350
TL62,162,350
VD63,111,400
VD64,111,400
VD65,105,400
VD66,105,400
VD67,145,450
VD68,158,450
VD69,158,450
VD70,128,450
MC02,109,300
CH02,115,250
VD-L50,197,600
CS92,824,1600
CS93,936,1800
IPMN28,385,900
CS94,1126,1800
CS95,624,1250
VD-L51,215,600
CS96,607,1300
CS97,817,1600
VD71,81,400
VD72,182,550
VD-L52,214,600
VD73,162,450
VD-L53,230,600
VD-L54,214,600
IP157,571,1100
VD-L55,291,700
CS98,734,1300
IP158,533,1250
IPMN29,379,900
TL63,167,350
CS99,888,1700
CS100,440,1500
BL22,988,1650
CS101,1050,1800
CS102,1015,1700
IP159,578,1100
TR25,544,1100
IP160,646,1250
IP161,612,1200
TL64,261,550
TR26,650,950
BL23,576,870
GT-VD03,420,550
GT004,850,900
GT005,950,1550
TL65,168,350
IP162,469,1250
CS103,991,1750
IP163,497,1250
CS104,835,1350
VD74,165,450
VD75,163,450
VD76,163,450
IP165,849,1350
CS105,1060,1650
CS106,1060,1650
IP166,379,900
CS107,849,1400
IP167,516,1100
IP168,636,1150
CS108,754,1300
IP169,499,1000
VD77,110,400
VD78,116,400
VD79,115,400
VD80,115,400
VD81,115,400
VD82,207,450
VD83,149,400
VD84,173,400
VD85,173,400
CS109,619,1200
VD86,120,300
CS110,939,1750
CS111,825,1600
CS112,790,1300
IP170,575,1100
TL66,219,350
TL67,215,350
TL68,243,500
TL69,205,350
TL70,160,350
IPMN30,577,1150
IPMN31,594,1150
IPMN32,594,1150
IPMN33,594,1150
VD-L56,311,750
VD-L57,311,550
TL71,180,350
IPMN34,592,1150
VD-L58,392,900
VD-L59,344,900
VD-L60,344,900
VD-L61,261,900
VD-L62,313,900
IP171,581,1150
CS114,803,1350
Card Holder,200,300
IP172,392,900
IP173,440,950
CS115,618,1300
IPMN35,375,900
VD-L63,199,650
IPMN36,465,950
VD-L64,311,800
VD87,216,550
VD88,158,400
VD89,165,400
IP174,659,1200
IP175,645,1200
IP176,750,1300
IPMN37,379,900
IP177,697,1200
IP178,500,1100
IP179,603,1200
TL72,141,350
TL73,169,350
TL74,169,350
TL75,146,350
TL76,197,350
TL77,176,350
TL78,197,350
TL79,176,350
TL80,200,350
TL81,200,350
TL82,176,350
CS116,987,1500
IP180,450,1000
VD90,288,550
VD-L65,339,700
